会う
青い
赤い
明るい
秋
開く
開ける
朝
朝ご飯
あさって
足
明日
あそこ
遊ぶ
温かい
頭
新しい
あちら
暑い
厚い
後
貴方
兄
姉
あの
あの
アパート
浴びる
危ない
甘い
あまり
雨
洗う
有る
ある
歩く
あれ
い

良い
いいえ
言う
家
行く
いくつ
いくら
池
医者
椅子
忙しい
痛い
一
一日
一番
いつ
五日
一緒
五つ
いつも
今
意味
妹
いや
入口
入れる
色
色々
う

上
後ろ
薄い
歌
歌う
内
生まれる
海
売る
上着
え

絵
映画
映画館
英語
ええ
駅
エレベータ
円
鉛筆
お

御
美味しい
大きい
お母さん
お菓子
お金
起きる
置く
奥さん
送る
お酒
お皿
伯父さん
おじいさん
押す
遅い
お茶
お手洗い
お父さん
弟
男
男の子
一昨日
一昨年
大人
お腹
同じ
お兄さん
お姉さん
伯母さん

お弁当
覚える
重い
面白い
泳ぐ
降りる
終わる
音楽
女
女の子
か
回
階
外国
外国人
会社
階段
買物
買う
返す
帰る
顔
鍵
書く
学生
か月
傘
貸す
風
風邪
家族
方
片仮名
一月
二月
三月
四月
五月
六月
七月
八月
九月
十月
十一月
十二月
学校
角
家内
鞄
花瓶
冠る
紙
カメラ
火曜日
辛い
体
借りる

軽い
カレンダー
川
側
可愛い
漢字
き

木
黄色い
消える
聞く
北
ギター
汚い
喫茶店
切手
切符
昨日
九
牛肉
牛乳
今日
教室
兄弟
去年
嫌い
切る
着る
来る

キロ
キロ
銀行
金曜日
く

九
薬
下さい
果物
口
靴
靴下
国
曇り
暗い
ぐらい
クラス
グラム
車
黒い
け

今朝
消す

結婚
月曜日
玄関
元気
こ

個
五
語
公園
交番
声
コート
ここ
午後
九日
九つ
ご主人
午前
答える
こちら
コップ
今年
言葉
子供
この
御飯
困る
これ
ごろ
今月
今週
こんな
今晩
さ

さあ
歳
魚
先
咲く
作文

冊
雑誌
砂糖
寒い
再来年
三
さん
散歩
し

四
時
塩
しかし
時間
時間
仕事
辞書
静か
下
質問
自転車
自動車
死ぬ
字引
自分
閉まる
閉める
締める
じゃ
写真
シャツ
十
~週間
授業
宿題
上手
丈夫
醤油
食堂
知る
白い
人
新聞


水曜日
吸う
スカート
好き
過ぎ
すぐに
少し
涼しい
ずつ
ストーブ
スプーン
スポーツ
ズボン
住む
スリッパ
する
座る
せ

背
生徒
セーター
石鹸
背広
狭い
ゼロ
千
先月
先週
先生
洗濯
全部
そ

そう
掃除
そうして
そこ
そちら
外
その
そば
空
それ
それから
それでは
た

台
大学
大使館
大丈夫
大好き
大切

台所
大変
高い
沢山
タクシー
出す
~達
立つ
建物
楽しい
頼む
たばこ
多分
食べ物
食べる
卵
誰
誕生日
だんだん
ち

小さい
近い
違う
地下鉄
地図
父
茶色
茶碗
中
ちょうど
ちょっと
つ

一日
使う
疲れる
次
着く
机
作る
点ける
勤める
詰らない
冷たい
強い
て

手
テープ
テープレコーダー
テーブル
出かける
手紙
出来る
出口
テスト
では
デパート
でも
出ます
テレビ
天気
電気
電車
電話
と

戸
度
ドア
トイレ
どう
どうして
どうぞ
動物
どうも
十
遠い
十日
時々
時計
どこ
所
図書館
どちら
とても
どなた
隣り
どの
飛ぶ
止まる
友達
土曜日
鳥
鶏肉
取る
撮る
どれ
どんな
な

ナイフ
中
長い
鳴く
夏
夏休み
など
七つ
何
七日
名前
習う
並ぶ
並べる

に

二
賑やか
お肉
西
日
日曜日
荷物
ニュース
庭
人
ぬ

脱ぐ
ね

ネクタイ
寝る
年
の

ノート
登る
飲物
飲む
乗る
は

歯
パーテイー
はい
はい
灰皿
入る
葉書
履く
箱
橋
箸
始まる
始め
初めて
走る
バス
バター
二十歳
働く
八
二十日
花
鼻
話
話す
母
早い
速い
春
張る
晴れる
半
晩
~番
パン
ハンカチ
番号
晩ご飯
半分
ひ

東
匹
引く
弾く
低い
飛行機
左
人
一つ
一月
一人
暇
百
病院
病気
平仮名
昼
昼ご飯
広い
ふ

フィルム
封筒
プール
フォーク
吹く
服
二つ
豚肉
二人
二日
太い
降る
古い
お風呂
分
へ

ページ
下手
ベッド
部屋
辺
ペン
勉強
便利
ほ

方
帽子
ボールペン
他
ポケット
欲しい
細い
ボタン
ホテル
本
本
本棚
本当に
ま

枚
毎朝
毎月
毎週
毎日
毎年
毎晩
前
前
曲がる
不味い
また
まだ
町
待つ
真直ぐに
マッチ
窓
丸い
万
万年筆
み

磨く
右
短い
お水
店
見せる
道
三日
三つ
皆さん
南
耳
見る
皆
む

六日
向こう
難しい
六つ
め

目
メートル
めがね
も

もう
もう
木曜日
もしもし
勿論
持つ
もっと
物
門
や

屋
八百屋
野菜
優しい
安い
休み
休む
八つ
山
よ

八日
洋服
よく
横
四日
四つ
呼ぶ
読む
夜
ら

来月
来週
来年
ラジオ
り

立派
留学生
両親
料理
旅行
れ


冷蔵庫
レコード
レストラン
練習
ろ

六
わ

ワイシャツ
若い
分かる
忘れる
私
渡す
渡る
悪い
