単語名,出現回数
父子,2
父母,2
片手,2
献立,2
生殖,2
生涯,2
病変,2
病期,2
病的,2
発散,2
発熱,2
白書,2
白湯,2
皮脂,2
眼鏡,2
着物,2
矢印,2
知事,2
知的,2
短縮,2
破棄,2
破産,2
確立,2
祖母,2
突然,2
立脚,2
粘膜,2
糖質,2
紅茶,2
納得,2
素手,2
細菌,2
結晶,2
結膜,2
緊急,2
総局,2
総額,2
緑茶,2
線維,2
缶詰,2
老齢,2
肝臓,2
肯定,2
胸部,2
胸骨,2
胸髄,2
脂質,2
脚立,2
脱衣,2
脳死,2
腎臓,2
腸炎,2
膨満,2
臨床,2
舌下,2
舌骨,2
良質,2
芸術,2
薄弱,2
血流,2
装甲,2
製作,2
親戚,2
角化,2
角膜,2
解凍,2
訂正,2
訪室,2
詩吟,2
誘発,2
語彙,2
誤認,2
講師,2
資質,2
資金,2
賞賛,2
起伏,2
踏切,2
身近,2
身頃,2
軟便,2
転職,2
転院,2
軽微,2
農業,2
近年,2
返事,2
追及,2
通路,2
過剰,2
道路,2
遵守,2
配布,2
配食,2
酵素,2
酸味,2
重力,2
重点,2
野球,2
鑑別,2
鑑賞,2
長所,2
閉店,2
閉鎖,2
開封,2
開放,2
障壁,2
隣町,2
集約,2
雑巾,2
離床,2
静脈,2
面倒,2
面接,2
靴底,2
順序,2
順応,2
頚椎,2
頭皮,2
頻尿,2
願望,2
食前,2
食塊,2
食費,2
飲水,2
騒音,2
骨格,2
髄節,2
高度,2
高額,2
麻雀,2
鼻道,2
一切,1
一声,1
一昨,1
一段,1
一環,1
一種,1
一覧,1
一雄,1
七草,1
三叉,1
上唇,1
上方,1
上端,1
上葉,1
下図,1
下葉,1
不利,1
不感,1
不慮,1
不通,1
世界,1
世紀,1
両側,1
両眼,1
両立,1
両脚,1
両輪,1
中央,1
中期,1
中温,1
中腰,1
中葉,1
主催,1
主語,1
乖離,1
乳突,1
乾布,1
了解,1
予告,1
予後,1
予想,1
事柄,1
五感,1
些細,1
交友,1
交差,1
人本,1
人的,1
付加,1
付近,1
仙髄,1
代表,1
会長,1
会陰,1
伝音,1
伱間,1
住所,1
体圧,1
体表,1
余分,1
余暇,1
余裕,1
作動,1
作図,1
作戦,1
使役,1
侵入,1
侵蝕,1
便性,1
便所,1
保佐,1
保湿,1
保育,1
信頼,1
修了,1
修復,1
修理,1
個体,1
個数,1
候補,1
借金,1
健忘,1
側弯,1
側面,1
偽物,1
備蓄,1
傷病,1
傾眠,1
先輩,1
免除,1
入社,1
全力,1
公営,1
具申,1
内径,1
内水,1
内耳,1
内転,1
冗談,1
冬至,1
冷静,1
凝固,1
凝集,1
出勤,1
出張,1
出演,1
分化,1
分散,1
分裂,1
切開,1
切除,1
列車,1
初発,1
初語,1
別室,1
利尿,1
利点,1
制止,1
前鼻,1
副腎,1
創作,1
創傷,1
創出,1
力点,1
加圧,1
劣化,1
労働,1
動線,1
勝敗,1
勧誘,1
包帯,1
化学,1
区画,1
半歩,1
卒業,1
単位,1
単独,1
単身,1
印象,1
印鑑,1
危機,1
原始,1
原案,1
反対,1
受傷,1
受検,1
叙述,1
口唇,1
口外,1
口座,1
口角,1
口論,1
古紙,1
右肺,1
右脚,1
右脳,1
吃逆,1
合同,1
合算,1
同名,1
同室,1
同性,1
同情,1
同等,1
同色,1
名簿,1
吸入,1
吸着,1
告知,1
周回,1
味蕾,1
和洋,1
和食,1
品物,1
喀出,1
善悪,1
善意,1
喫煙,1
喫茶,1
嗜好,1
器具,1
器用,1
噯気,1
噴門,1
四方,1
固有,1
国家,1
国道,1
園児,1
園芸,1
土用,1
圧力,1
在職,1
地位,1
地区,1
地面,1
坐骨,1
基部,1
基金,1
塞栓,1
塩水,1
墓場,1
増幅,1
壊死,1
壊疽,1
外側,1
外反,1
外来,1
外転,1
外陰,1
多用,1
多量,1
夜型,1
大事,1
大工,1
大股,1
大腸,1
太陽,1
失墜,1
失明,1
失聴,1
奇抜,1
奉仕,1
奥行,1
好意,1
好物,1
嫌気,1
子宮,1
孝行,1
学童,1
学説,1
完了,1
完食,1
宗教,1
定員,1
定額,1
実地,1
実験,1
室温,1
家主,1
家業,1
密封,1
寛解,1
寝床,1
寡婦,1
対人,1
対光,1
対極,1
専業,1
導管,1
小児,1
小型,1
小弯,1
小骨,1
少額,1
尿器,1
局部,1
居間,1
展望,1
工事,1
左端,1
左脳,1
左腕,1
市場,1
市民,1
布巾,1
帯紐,1
平常,1
平日,1
平衡,1
年前,1
幽門,1
広域,1
底屈,1
店員,1
座席,1
弁償,1
引退,1
弱者,1
弱視,1
強力,1
強弱,1
強打,1
強迫,1
当然,1
形状,1
役員,1
往復,1
待機,1
待遇,1
後悔,1
得点,1
復元,1
微熱,1
微笑,1
徴候,1
心情,1
応急,1
応益,1
性交,1
性別,1
性差,1
性欲,1
患部,1
悪心,1
悲観,1
意志,1
愛称,1
感動,1
懲役,1
懸命,1
成功,1
成熟,1
戦後,1
手元,1
手浴,1
手芸,1
手配,1
抗菌,1
折衷,1
抵抗,1
拇指,1
拍動,1
拠点,1
持参,1
指名,1
振興,1
採尿,1
接種,1
接近,1
推奨,1
損得,1
支度,1
支払,1
支点,1
支配,1
改築,1
攻撃,1
放棄,1
故人,1
故障,1
救助,1
救援,1
教師,1
教養,1
散布,1
敬意,1
文章,1
料金,1
断裂,1
既往,1
日数,1
旧友,1
早速,1
昏睡,1
映像,1
昨夜,1
昭和,1
時差,1
暖房,1
暴行,1
曲線,1
書棚,1
最中,1
最低,1
月間,1
月額,1
有利,1
服従,1
服装,1
朝方,1
未然,1
未熟,1
本質,1
本部,1
材料,1
来店,1
来所,1
東南,1
柏餅,1
柔軟,1
格差,1
案内,1
棒型,1
椅座,1
植木,1
検診,1
業者,1
模式,1
模擬,1
権威,1
橈骨,1
機制,1
欠損,1
次第,1
正規,1
歯周,1
歯垢,1
歯科,1
歯髄,1
死去,1
残尿,1
殿筋,1
比喩,1
気心,1
気泡,1
気温,1
水洗,1
永続,1
氾濫,1
決意,1
沈着,1
法則,1
注文,1
洗体,1
洗車,1
洞察,1
津波,1
洪水,1
活力,1
活性,1
流行,1
浮気,1
浴衣,1
海外,1
海産,1
消灯,1
消耗,1
液体,1
液面,1
淡黄,1
深部,1
清掃,1
減弱,1
減食,1
温水,1
温泉,1
温風,1
湯船,1
湿布,1
湿疹,1
満点,1
満腹,1
漠然,1
潜在,1
激励,1
火力,1
炊事,1
無動,1
無地,1
無尿,1
煮沸,1
熟眠,1
熱傷,1
熱感,1
熱水,1
爪床,1
爪白,1
物音,1
特化,1
特異,1
犯人,1
独占,1
独居,1
独自,1
独身,1
率直,1
現役,1
現金,1
生体,1
生前,1
生成,1
生物,1
産前,1
産後,1
用事,1
用量,1
申出,1
疼痛,1
病名,1
病室,1
痙直,1
癒着,1
発令,1
発育,1
登園,1
白物,1
白身,1
白髪,1
皮下,1
